Episode,Reward,Waypoints_Reached,Shape_Complete,Actor_Loss,Critic_Loss
1,-49.000,1,0,,
2,-50.000,0,0,,
3,-49.000,1,0,,
4,-48.000,2,0,,
5,-47.000,3,0,,
6,-48.000,2,0,,
7,-49.000,1,0,,
8,-48.000,2,0,,
9,-46.000,4,0,,
10,-48.000,2,0,,
11,-46.000,4,0,,
12,-49.000,1,0,,
13,-48.000,2,0,,
14,-47.000,3,0,,
15,-48.000,2,0,,
16,-50.000,0,0,,
17,-46.000,4,0,,
18,-50.000,0,0,,
19,-48.000,2,0,,
20,-48.000,2,0,-3.037348,0.423421
21,-47.000,3,0,-3.265358,0.370438
22,-49.000,1,0,-3.359312,0.524786
23,-45.000,5,1,-3.459177,0.409602
24,-49.000,1,0,-3.616448,0.303682
25,-50.000,0,0,-3.586264,0.546885
26,-49.000,1,0,-3.705763,0.440918
27,-48.000,2,0,-3.752501,0.291462
28,-46.000,4,0,-3.783164,0.375358
29,-48.000,2,0,-3.873543,0.611720
30,-48.000,2,0,-3.886899,0.400828
31,-48.000,2,0,-3.981452,0.529549
32,-48.000,2,0,-4.057944,0.654545
33,-18.000,5,1,-3.982622,0.507789
34,-48.000,2,0,-4.003628,0.554122
35,-49.000,1,0,-4.290737,0.515865
36,-46.000,4,0,-4.347753,0.399189
37,-47.000,3,0,-4.278998,0.628334
38,-47.000,3,0,-4.396303,0.359618
39,-47.000,3,0,-4.341323,0.453106
40,-48.000,2,0,-4.301772,0.533311
41,-49.000,1,0,-4.403212,0.613996
42,-48.000,2,0,-4.460921,0.960743
43,-47.000,3,0,-4.585531,0.909873
44,-46.000,4,0,-4.518791,0.766758
45,-32.000,5,1,-4.603202,0.432986
46,-48.000,2,0,-4.752312,0.819486
47,-48.000,2,0,-4.682073,0.491067
48,-46.000,4,0,-4.747125,0.797842
49,-46.000,4,0,-4.792304,0.670813
50,-50.000,0,0,-4.857362,0.859206
51,-49.000,1,0,-4.976829,0.550627
52,-49.000,1,0,-4.767101,0.739342
53,-48.000,2,0,-4.854047,0.673783
54,-49.000,1,0,-5.005505,0.462867
55,-47.000,3,0,-5.035502,0.631974
56,-46.000,4,0,-4.986361,0.628056
57,-49.000,1,0,-5.052094,0.806211
58,-30.000,5,1,-5.161420,0.789135
59,-50.000,0,0,-5.084037,1.107679
60,-47.000,3,0,-5.060735,0.453716
61,-49.000,1,0,-5.268423,0.909769
62,-49.000,1,0,-4.937790,0.753797
63,-48.000,2,0,-5.088245,1.127144
64,-46.000,4,0,-5.190863,0.929632
65,-39.000,5,1,-5.244485,0.855325
66,-46.000,4,0,-5.103162,1.033979
67,-47.000,3,0,-5.307745,1.215361
68,-47.000,3,0,-5.246333,1.055702
69,-49.000,1,0,-5.333069,0.974854
70,-48.000,2,0,-5.419624,0.464526
71,-37.000,5,1,-5.321508,1.158534
72,-47.000,3,0,-5.413187,1.508153
73,-40.000,5,1,-5.131190,0.749091
74,-46.000,4,0,-5.314967,1.017450
75,-47.000,3,0,-5.496037,0.658566
76,-46.000,4,0,-5.496552,1.111567
77,-47.000,3,0,-5.479947,0.851083
78,-38.000,5,1,-5.371837,0.570108
79,-45.000,5,1,-5.335246,1.265319
80,-46.000,4,0,-5.469503,0.944427
81,-45.000,5,1,-5.419803,1.088263
82,-48.000,2,0,-5.428296,0.975677
83,-46.000,4,0,-5.532574,0.881057
84,-46.000,4,0,-5.429297,0.457818
85,-35.000,5,1,-5.403608,0.974990
86,-48.000,2,0,-5.381299,1.180530
87,-48.000,2,0,-5.458216,0.820650
88,-47.000,3,0,-5.417267,1.158578
89,-46.000,4,0,-5.367814,0.808335
90,-48.000,2,0,-5.337368,1.250013
91,-49.000,1,0,-5.649269,1.000434
92,-46.000,4,0,-5.415277,0.881503
93,-48.000,2,0,-5.470164,0.714391
94,-49.000,1,0,-5.586288,0.551515
95,-46.000,4,0,-5.529206,0.556967
96,-47.000,3,0,-5.637675,0.308544
97,-47.000,3,0,-5.787529,1.012988
98,-50.000,0,0,-5.594109,1.128793
99,-39.000,5,1,-5.502393,1.162338
100,-47.000,3,0,-5.496159,1.050891
